Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Service_names,Approved,Public visible,Closed
20798,Nthongoni Dispensary,Nthongoni Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,2,Makueni,Kibwezi West,Kibwezi West,Kikumbulyu North,Operational,No,No,No,No,,Yes,Yes,No
20797,Mithumoni Dispensary,Mithumoni Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,2,Makueni,Kibwezi West,Kibwezi West,Nguu/Masumba,Operational,No,No,No,No,,Yes,Yes,No
20796,Mbui-Nzau Dispensary,Mbui-Nzau Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,2,Makueni,Kibwezi West,Kibwezi West,Kikumbulyu South,Operational,No,No,No,No,,Yes,Yes,No
20795,Nzouni Dispensary(Kaiti),Nzouni Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,1,Makueni,Kaiti,Kaiti,Ukia,Operational,No,No,No,No,,Yes,Yes,No
20794,Kwakotoe Dispensary,Kwakotoe Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,2,Makueni,Kibwezi West,Kibwezi West,Emali/Mulala,Operational,No,No,No,No,,Yes,Yes,No
20793,Kasemeini Dispensary,Kasemeini Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,2,Makueni,Kibwezi West,Kibwezi West,Kikumbulyu North,Operational,No,No,No,No,,Yes,Yes,No
20792,Kisayani Dispensary,Kisayani Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,2,Makueni,Kibwezi West,Kibwezi West,Kikumbulyu North,Operational,No,No,No,No,,Yes,Yes,No
20791,Waraba Medica Centre,Waraba Medical Centre,None,Level 2,Medical Center,MEDICAL CENTER,Private Practice - Nurse / Midwifery,Private Practice,Clinical Officers Council,18,0,Bungoma,Tongaren,Tongaren,Soysambu/Mitua,Operational,Yes,No,No,No,,Yes,Yes,No
20790,Nkwego Dispensary,Nkwego Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Tharaka Nithi,Chuka/Igambang'ombe,Chuka,Magumoni,Operational,No,No,No,No,,Yes,Yes,No
20789,Kalungu Dispensary,Kalungu Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,2,Makueni,Kibwezi West,Kibwezi West,Kikumbulyu South,Operational,No,No,No,No,,Yes,Yes,No
20788,Kai Dispensary,Kai Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,2,Makueni,Kibwezi West,Kibwezi West,Makindu,Operational,No,No,No,No,,Yes,Yes,No
20787,Mathanguni Dispensary,Mathanguni Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Makueni,Makueni,Makueni,Nzaui/Kilili/Kalamba,Operational,No,No,No,No,,Yes,Yes,No
20786,Nzeeni Dispensary,Nzeeni Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Makueni,Makueni,Makueni,Nzaui/Kilili/Kalamba,Operational,No,No,No,No,,Yes,Yes,No
20785,Maaueli Dispensary,Maaueli Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Makueni,Makueni,Makueni,Kitise/Kithuki,Operational,No,No,No,No,,Yes,Yes,No
20784,Itumbule Dispensary (Makueni),Itumbule Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,6,0,Makueni,Makueni,Makueni,Kathonzweni,Operational,No,No,No,No,,Yes,Yes,No
20783,Kaliini (Kwamutula) Dispensary,Kaliini (Kwamutula)Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Makueni,Makueni,Makueni,Mbitini,Operational,No,No,No,No,,Yes,Yes,No
20782,Sopel Dispensary,Sopel Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,4,4,Turkana,Turkana South,Turkana South,Lokichar,Operational,No,No,No,No,,Yes,Yes,No
20781,Lopii Dispensary,Lopii Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Turkana,Turkana East,Turkana East,Lokori/Kochodin,Operational,No,No,No,No,,Yes,Yes,No
20773,Kalokol Dispensary,Kalokol Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,2,Turkana,Turkana Central,Turkana Central,Kalokol,Operational,No,No,No,No,,Yes,Yes,No
20770,Tamarukwa Dispensary,Tamarukwa Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,West Pokot,Kapenguria,West Pokot,Endugh,Operational,No,No,No,No,,Yes,Yes,No
20769,Kikalu Dispensary,Kikalu Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Machakos,Kangundo,Kangundo,Kangundo West,Operational,No,No,No,No,,Yes,Yes,No
20768,Biliqo Marara Dispensary,Biliqo Marara Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,2,Isiolo,Isiolo North,Merti,Chari,Operational,No,No,No,No,,Yes,Yes,No
20767,Elkambere Dispensary,Elkambere Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Garissa,Ijara,Hulugho,Hulugho,Operational,No,No,No,No,,Yes,Yes,No
20766,Marre Dispensary,Marre Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Garissa,Ijara,Hulugho,Sangailu,Operational,No,No,No,No,,Yes,Yes,No
20765,Logetei Dispensary,Logetei Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,0,Samburu,Samburu North,Samburu North,Nachola,Operational,No,No,No,No,,Yes,Yes,No
20764,Lchakwai  Dispensary,Lchakwai Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Samburu,Samburu North,Samburu North,Baawa,Operational,No,No,No,No,,Yes,Yes,No
20763,Market Medical Clinic,Market Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),4,2,Kajiado,Kajiado South,Loitokitok,Kimana,Operational,No,No,No,No,,Yes,Yes,No
20762,Kuku Dispensary,Kuku Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,4,2,Kajiado,Kajiado South,Loitokitok,Kuku,Operational,No,No,No,No,,Yes,Yes,No
20761,Oloirien Dispensary,Oloirien Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,4,2,Kajiado,Kajiado South,Loitokitok,Rombo,Operational,No,No,No,No,,Yes,Yes,No
20760,Garabey Dispensary,Garabey Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Garissa,Ijara,Hulugho,Hulugho,Operational,No,No,No,No,,Yes,Yes,No
20759,Lekeri Dispensary,Lekeri Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,0,Samburu,Samburu North,Samburu North,Nyiro,Operational,No,No,No,No,,Yes,Yes,No
20758,Lorrok Onyikie Dispensary,Lorrok Onyikie Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,0,Samburu,Samburu North,Samburu North,El-barta,Operational,No,No,No,No,,Yes,Yes,No
20757,Parkati Dispensary,Parkati Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,0,Samburu,Samburu North,Samburu North,Nyiro,Operational,No,No,No,No,,Yes,Yes,No
20756,Urah Dispensary,Urah Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,0,Samburu,Samburu North,Samburu North,Ndoto,Operational,No,No,No,No,,Yes,Yes,No
20755,Seren Dispensary,Seren Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,0,Samburu,Samburu North,Samburu North,Ndoto,Operational,No,No,No,No,,Yes,Yes,No
20754,Loonjorin Dispensary,Loonjorin Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,0,Samburu,Samburu North,Samburu North,Nyiro,Operational,No,No,No,No,,Yes,Yes,No
20753,Anderi Dispensary,Anderi Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,0,Samburu,Samburu North,Samburu North,Nyiro,Operational,No,No,No,No,,Yes,Yes,No
20752,Buyangu Dispensary,Buyangu Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Kakamega,Shinyalu,Shinyalu,Isukha North,Operational,No,No,No,No,,Yes,Yes,No
20750,Motagara Health Centre,Motagara Health Centre,None,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,5,0,Nyamira,West Mugirango,Nyamira,Bosamaro,Operational,No,No,No,No,,Yes,Yes,No
20749,Ngiori Dispensary,Ngiori Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Embu,Mbeere South,Mbeere South,Mavuria,Operational,No,No,No,No,,Yes,Yes,No
20748,Prima Medical Centre,Prima Medical Centre,None,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Mombasa,Kisauni,Kisauni,Shanzu,Operational,No,No,No,No,,Yes,Yes,No
20747,Marte  Elepareu  Dispensary,Marte Elepareu Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,0,Samburu,Samburu East,Samburu East,Wamba North,Operational,No,No,No,No,,Yes,Yes,No
20746,Nice View Medical Centre,Nice View Medical Centre,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Kwale,Msambweni,Msambweni,Ramisi,Operational,No,No,No,No,,Yes,Yes,No
20745,Remot Dispensary,Remot Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,0,Samburu,Samburu East,Samburu East,Wamba West,Operational,No,No,No,No,,Yes,Yes,No
20744,Lmarmaroi Dispensary,Lmarmaroi Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,0,Samburu,Samburu East,Samburu East,Wamba North,Operational,No,No,No,No,,Yes,Yes,No
20743,Lolkuniyani  Dispensary,Lolkuniyani Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,0,Samburu,Samburu East,Samburu East,Wamba East,Operational,No,No,No,No,,Yes,Yes,No
20742,Portreitz Youth Friendly Centre,Portreitz Youth Friendly Centre,None,Level 2,VCT,STAND ALONE,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Mombasa,Changamwe,Changamwe,Airport,Operational,No,No,No,No,,Yes,Yes,No
20741,Regional Blood Transfusion Center (Coast),Regional Blood Transfusion Centre (Mombasa),None,Level 2,Regional Blood Transfusion Centre,STAND ALONE,Ministry of Health,Ministry of Health,"Kenya Medical Laboratory, Tech & Technologists Board",0,0,Mombasa,Mvita,Mvita,Tononoka,Operational,No,No,No,No,,Yes,Yes,No
20740,Chepkerer Dispensary,Chepkerer Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Bungoma,Mt. Elgon,Mt Elgon,Kaptama,Operational,No,No,No,No,,Yes,Yes,No
20739,Daaba Dispensary,Daaba Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Isiolo,Isiolo North,Isiolo,Ngare Mara,Operational,No,No,No,No,,Yes,Yes,No
20738,Eagles Health Solution Clinic,Eagles Health Solution Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Makueni,Kilome,Kilome,Kima Kiu/Kalanzoni,Operational,No,No,No,No,,Yes,Yes,No
20737,Nthungu Dispensary,Nthungu Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Meru,North Imenti,Imenti North,Ntima West,Operational,No,No,No,No,,Yes,Yes,No
20736,AIDS Health Care Foundation Parklands Clinic,AIDS Health Care Foundation Parklands Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,No,No,No,No,,Yes,Yes,No
20735,Cheptagum Dispensary,Cheptagum Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,4,2,Bomet,Chepalungu,Chepalungu,Nyangores,Operational,No,No,No,No,,Yes,Yes,No
20734,County Gate Medical Clinic,County Gate Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,5,3,Machakos,Yatta,Yatta,Matuu,Operational,No,No,No,No,,Yes,Yes,No
20733,Kalukuni Mission Dispensary,Kalukuni Mission Dispensary,None,Level 2,Dispensary,DISPENSARY,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,1,Machakos,Yatta,Yatta,Kithimani,Operational,No,No,No,No,,Yes,Yes,No
20732,Kalyambeu Dispensary,Kalyambeu Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Machakos,Mwala,Mwala,Muthetheni,Operational,No,No,No,No,,Yes,Yes,No
20731,Sirimon Dispensary,Sirmon Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Meru,Buuri,Buuri,Timau,Operational,No,No,No,No,,Yes,Yes,No
20730,KRICH Dispensary,KRICH Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,West Pokot,Kapenguria,West Pokot,Endugh,Operational,No,No,No,No,,Yes,Yes,No
20728,Kiwa Laboratory,Kiwa Laboratory,None,Level 2,Laboratory,STAND ALONE,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Muranga,Maragwa,muranga south,Ichagaki,Operational,No,No,No,No,,Yes,Yes,No
20726,Bodo Medical Clinic,Bodo Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Kwale,Msambweni,Msambweni,Ramisi,Operational,No,No,No,No,,Yes,Yes,No
20724,Salalma Dispensary,Salalma Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Wajir,Wajir South,Wajir South,Diif,Operational,No,No,No,No,,Yes,Yes,No
20723,Iimbani Dispensary,Iimbani Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Machakos,Kathiani,Kathiani,Upper Kaewa/Iveti,Operational,No,No,No,No,,Yes,Yes,No
20722,Makueni GK Prison Dispensary,Makueni GK Prison Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Makueni,Makueni,Makueni,Wote,Operational,No,No,No,No,,Yes,Yes,No
20721,Lolkunono Dispensary,Lolkunono Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Samburu,Samburu Central,Samburu Central,Loosuk,Operational,No,No,No,No,,Yes,Yes,No
20720,Logorate Dispensary,Logorate Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Samburu,Samburu Central,Samburu Central,Suguta Marmar,Operational,No,No,No,No,,Yes,Yes,No
20719,Lolgese Dispensary,Lolgese Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Samburu,Samburu Central,Samburu Central,Suguta Marmar,Operational,No,No,No,No,,Yes,Yes,No
20718,Naiborkeju Dispensary,Naibor Keju Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Samburu,Samburu Central,Samburu Central,Lodokejek,Operational,No,No,No,No,,Yes,Yes,No
20717,Lkiloriti Dispensary,Lkiloriti Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Samburu,Samburu Central,Samburu Central,Lodokejek,Operational,No,No,No,No,,Yes,Yes,No
20715,Haraka Dispensary,Haraka Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,1,Nyandarua,Kinangop,Kinangop,Nyakio,Operational,No,No,No,No,,Yes,Yes,No
20713,Boston Medical Clinic,Boston Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Nyandarua,Ol Kalou,Olkalou,Karau,Operational,No,No,No,No,,Yes,Yes,No
20712,Janju Dispensary,Janju Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Garissa,Lagdera,Lagdera,Modogashe,Operational,No,No,No,No,,Yes,Yes,No
20711,Beramo Dispensary,Beramo Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Wajir,Wajir North,Wajir North,Batalu,Operational,No,No,No,No,,Yes,Yes,No
20710,Halane Dispensary,Halane Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Wajir,Wajir East,Wajir East,Wagberi,Operational,No,No,No,No,,Yes,Yes,No
20709,Gunana Dispensary,Gunana Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Wajir,Tarbaj,Tarbaj,Sarman,Operational,No,No,No,No,,Yes,Yes,No
20707,Burmayow Dispensary,Burmayow Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Wajir,Tarbaj,Tarbaj,Elben,Operational,No,No,No,No,,Yes,Yes,No
20706,Dureweey Dispensary,Dureweey Dispensary,345555,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Kenya MPDB,0,0,Wajir,Tarbaj,Tarbaj,Elben,Operational,No,No,No,No,,Yes,Yes,No
20705,Kajaja 2 Dispensary,Kajaja 2 Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Wajir,Tarbaj,Tarbaj,Wargadud,Operational,No,No,No,No,,Yes,Yes,No
20704,Wargadud Dispensary(Tarbaj),Wargadud Dispensary(Tarbaj),None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Wajir,Tarbaj,Tarbaj,Wargadud,Operational,No,No,No,No,,Yes,Yes,No
20702,Raphamed Health Care Services,Raphamed Health Care Services,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Machakos,Mavoko,Athi River,Muthwani,Operational,No,No,No,No,,Yes,Yes,No
20700,Keeping alive Society Hope,Keeping alive Society Hope,None,Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Other,0,0,Kisumu,Kisumu Central,Kisumu Central,Kondele,Operational,No,No,No,No,,Yes,Yes,No
20699,Earnest Medical Point Centre,Earnest Medical Point Centre,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,6,0,Machakos,Mavoko,Athi River,Syokimau/Mulolongo,Operational,Yes,No,No,No,,Yes,Yes,No
20698,Lolkuta North Dispensary,Lolkuta North Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Wajir,Wajir West,Wajir West,Hadado/Athibohol,Operational,Yes,No,No,No,,Yes,Yes,No
20697,Barmil Dispensary,Barmil Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Wajir,Wajir West,Wajir West,Ganyure/Wagalla,Operational,Yes,No,No,No,,Yes,Yes,No
20695,Koricha Dispensary,Koricha Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Wajir,Wajir West,Wajir West,Hadado/Athibohol,Operational,Yes,No,No,No,,Yes,Yes,No
20694,Fatuma Nur Dispensary,Fatuma Nur Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Wajir,Wajir West,Wajir West,Arbajahan,Operational,Yes,No,No,No,,Yes,Yes,No
20693,Thageini Dispensary,Thageini Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Nyeri,Tetu,Tetu,Aguthi-gaaki,Operational,No,No,No,No,,Yes,Yes,No
20692,Vigetse Medical Clinic,Vigetse Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Vihiga,Vihiga,Vihiga,South Maragoli,Operational,No,No,No,No,,Yes,Yes,No
20691,Mathalibah Dispensary,Mathalibah Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Wajir,Wajir South,Wajir South,Habasswein,Operational,No,No,No,No,,Yes,Yes,No
20690,Lakoley Dispensary,Lakoley Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Wajir,Eldas,Eldas,Lakoley South/Basir,Operational,Yes,No,No,No,,Yes,Yes,No
20689,Abdiwaqo Dispensary,Abdiwaqo Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Wajir,Eldas,Eldas,Della,Operational,Yes,No,No,No,,Yes,Yes,No
20688,Anole Dispensary,Anole Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Wajir,Eldas,Eldas,Della,Operational,No,No,No,No,,Yes,Yes,No
20687,Dadhantaly Dispensary,Dadhantaly Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Wajir,Eldas,Eldas,Eldas,Operational,Yes,No,No,No,,Yes,Yes,No
20686,Balatula Amin Dispensary,Baladul-Amin Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Wajir,Eldas,Eldas,Elnur/Tula Tula,Operational,Yes,No,No,No,,Yes,Yes,No
20685,Della Dispensary,Della Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Wajir,Eldas,Eldas,Della,Operational,Yes,No,No,No,,Yes,Yes,No
20684,Amaiga Dispensary (Manga),Amaiga Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,2,Nyamira,Kitutu Masaba,Manga,Kamera,Operational,No,No,No,No,,Yes,Yes,No
20683,Gilgil Center of Hope (Hope world Wide Kenya),Gilgil Center of Hope (Hope world Wide Kenya),None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Clinical Officers Council,0,0,Nakuru,Gilgil,Gilgil,Gilgil,Operational,No,No,No,No,,Yes,Yes,No
20682,Kitogo Dispensary,Kitogo Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Nyandarua,Kinangop,Kinangop,North Kinangop,Operational,No,No,No,No,,Yes,Yes,No
20681,Simbol Dispensary,Simbol Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,West Pokot,Sigor,Pokot Central,Masool,Operational,No,No,No,No,,Yes,Yes,No
20680,Dr David Roden Mission Health Center Tikit,Dr David Roden Mission Health Center Tikit,None,Level 2,Dispensary,DISPENSARY,Christian Health Association of Kenya,Faith Based Organization,Ministry of Health,0,0,West Pokot,Sigor,Pokot Central,Masool,Operational,No,No,No,No,,Yes,Yes,No
20679,Eshikalame Dispensary,Eshikalame Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Kakamega,Mumias West,Mumias West,Musanda,Operational,No,No,No,No,,Yes,Yes,No
20678,Wang'nyang' Dispensary,Wang'nyang' Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Kakamega,Mumias West,Mumias West,Etenje,Operational,No,No,No,No,,Yes,Yes,No
20677,Kisera Dispensary,Kisera Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,West Pokot,Sigor,Pokot Central,Lomut,Operational,No,No,No,No,,Yes,Yes,No
20676,Kirinyaga University College Dispensary,Kirinyaga University College Dispensary,None,Level 2,Dispensary,DISPENSARY,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Kirinyaga,Kirinyaga Central,Kirinyaga Central,Kanyekini,Operational,No,No,No,No,,Yes,Yes,No
20675,Sostin  Dispensary,Sostin Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,West Pokot,Sigor,Pokot Central,Sekerr,Operational,No,No,No,No,,Yes,Yes,No
20674,Kamuchisu Dispensary,Kamuchisu Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Kakamega,Malava,Malava,West Kabras,Operational,No,No,No,No,,Yes,Yes,No
20673,Ekambuli Health Centre,Ekambuli Health Centre,None,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Kakamega,Khwisero,Khwisero,Kisa Central,Operational,No,No,No,No,,Yes,Yes,No
20672,Mungungune Dispensary,Mungungune Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Kakamega,Butere,Butere,Marama West,Operational,No,No,No,No,,Yes,Yes,No
20671,Lubanga Dispensary,Lubanga Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,0,Kakamega,Matungu,Matungu,Namamali,Operational,No,No,No,No,,Yes,Yes,No
